date,price
2020/2/12,96.54256071
2020/2/13,97.37274336
2020/2/14,96.1666453
2020/2/15,95.25642706
2020/2/16,94.38421162
2020/2/17,94.27824017
2020/2/18,74.21032454
2020/2/19,74.19978088
2020/2/20,74.54056311
2020/2/21,74.71293333
2020/2/22,74.43521101
2020/2/23,74.77633574
2020/2/24,75.61115183
2020/2/25,74.51082616
2020/2/26,76.09213689
2020/2/27,81.38547541
2020/2/28,82.28570973
2020/2/29,81.34166839
2020/3/1,81.67644245
2020/3/2,81.89991176
2020/3/3,81.59365747
2020/3/4,82.46847143
2020/3/5,86.18830269
2020/3/6,86.23972145
2020/3/7,84.41838356
2020/3/8,84.32184282
2020/3/9,84.33946524
2020/3/10,81.96607742
2020/3/11,81.91376607
2020/3/12,82.90152778
2020/3/13,82.84104798
2020/3/14,82.52580446
2020/3/15,82.84443223
2020/3/16,82.94377563
2020/3/17,82.41381235
2020/3/18,82.29651817
2020/3/19,82.58446908
2020/3/20,82.70618329
2020/3/21,80.86197005
2020/3/22,81.20536697
2020/3/23,82.09416856
2020/3/24,82.14952489
2020/3/25,82.04767937
2020/3/26,93.3571286
2020/3/27,92.45687638
2020/3/28,92.19256861
2020/3/29,90.27652459
2020/3/30,77.00422954
2020/4/1,77.93112277
2020/4/2,78.04081847
2020/4/3,76.56950719
2020/4/4,75.82824742
2020/4/5,75.13945529
2020/4/6,73.95029562
2020/4/7,73.69937626
2020/4/8,74.5521336
2020/4/9,73.35798618
2020/4/10,73.29181202
2020/4/11,72.89074856
2020/4/12,72.58176864
2020/4/13,70.53403609
2020/4/14,70.41468165
2020/4/15,70.04703704
2020/4/16,68.87725599
2020/4/17,67.94618314
2020/4/18,67.4580108
2020/4/19,67.34880213
2020/4/20,66.05528947
2020/4/21,66.2937946
2020/4/22,66.34577355
2020/4/23,66.418908
2020/4/24,65.43949356
2020/4/25,65.29414346
2020/4/26,65.36503778
2020/4/27,64.86802653
2020/4/28,64.68823675
2020/4/29,64.22752443
2020/4/30,64.71100766
2020/5/1,60.89056471
2020/5/2,62.85655251
2020/5/3,62.32753404
2020/5/4,62.06856495
2020/5/5,62.03758855
2020/5/6,62.55633041
2020/5/7,63.43508017
2020/5/8,62.66405755
2020/5/9,62.36767143
2020/5/10,61.29885491
2020/5/11,60.42686275
2020/5/12,60.19619015
2020/5/13,60.98971567
2020/5/14,60.86290014
2020/5/15,58.46753947
2020/5/16,59.26696716
2020/5/17,59.66410045
2020/5/18,58.61640498
2020/5/19,58.55580905
2020/5/20,58.24828371
2020/5/21,58.40281214
2020/5/22,58.50527326
2020/5/23,59.35013211
2020/5/24,59.06646013
2020/5/25,58.14609921
2020/5/26,57.9883588
2020/5/27,58.51904789
2020/5/28,57.77710186
2020/5/29,57.14766088
2020/5/30,56.48647911
2020/6/1,56.57683657
2020/6/2,56.10177961
2020/6/3,55.79258772
2020/6/4,58.1742546
